pilot0	2019-07-23
pilot1	2019-07-23
full1	2019-07-30
full2	2019-07-31
full3	2019-07-31
full4	2019-08-01
full5	2019-08-01
full6	2019-08-05
full7	2019-08-05
full8	2019-08-05
full9	2019-08-06
full10	2019-08-06
full11	2019-08-06
full12	2019-08-07
full13	2019-08-07
full14	2019-08-07
full15	2019-08-07
full16	2019-08-07
full17	2019-08-07
full18	2019-08-081
full19	2019-08-08
full20	2019-08-08
full21	2019-08-08
full22	2019-08-09
full23	2019-08-09
full24	2019-08-09
full25	2019-08-09
full26	2019-08-09
full27	2019-08-09
full28	2019-08-12
full29	2019-08-12
full30	2019-08-12
full31	2019-08-12
full32	2019-08-13
full33	2019-08-13
full34	2019-08-13
full35	2019-08-13
full36	2019-08-13
full37	2019-08-14
full38	2019-08-14
full39	2019-08-14
full40	2019-08-14
full41	2019-08-14
full42	2019-08-15
full43	2019-08-15
full44	2019-08-15
full45	2019-08-15
full46	2019-08-15
full47	2019-08-15
full48	2019-08-16
full49	2019-08-16
full50	2019-08-16
